2,IntroductionDialogue,0.002109885,64
4,IntroductionDialogue,0.005858243,64
6,IntroductionDialogue,0.001278415,64
8,IntroductionDialogue,1.53482E-06,64
10,IntroductionDialogue,1.519918E-06,64
12,IntroductionDialogue,1.53482E-06,64
14,IntroductionDialogue,2.264977E-06,64
16,IntroductionDialogue,0.00665611,64
18,IntroductionDialogue,0.0007705241,64
20,IntroductionDialogue,0.01135072,64
22,IntroductionDialogue,0.8238231,64
24,Walkin,10.40943,64
26,mechanicIntroduction,7.125735E-05,64
28,mechanicIntroduction,7.730891E-09,64
Average,64
Peak,64
