2,IntroductionDialogue,0.003512445,64
4,IntroductionDialogue,0.943498,64
6,IntroductionDialogue,1.32078,64
8,IntroductionDialogue,0.6614369,64
10,mechanicIntroduction,1.989398,64
12,mechanicIntroduction,0.06059297,64
14,mechanicIntroduction,0.000118471,64
16,mechanicIntroduction,0.0006530754,64
18,mechanicIntroduction,5.725681E-05,64
20,mechanicIntroduction,1.41313,64
22,mechanicIntroduction,0.005124289,64
24,mechanicIntroduction,0.0004355818,64
26,mechanicIntroduction,1.370166E-08,64
Average,64
Peak,64
