2,IntroductionDialogue,0.02213321,64
4,IntroductionDialogue,0.00879644,64
6,IntroductionDialogue,1.734944,64
8,mechanicIntroduction,2.7086,64
10,mechanicIntroduction,1.823272E-05,64
12,mechanicIntroduction,1.794108E-05,64
14,mechanicIntroduction,9.162589E-06,64
16,mechanicIntroduction,0.5480372,64
18,mechanicIntroduction,0.0007163556,64
20,mechanicIntroduction,0.6241401,64
22,mechanicIntroduction,0.6639681,64
24,mechanicIntroduction,4.664198E-05,64
26,mechanicIntroduction,2.57911E-05,64
28,mechanicIntroduction,3.597615E-05,64
30,mechanicIntroduction,0.4236594,64
32,mechanicIntroduction,2.576286E-05,64
34,mechanicIntroduction,1.617222E-06,64
Average,64
Peak,64
