2,IntroductionDialogue,2.81469E-05,64
4,IntroductionDialogue,0.6591445,64
6,IntroductionDialogue,3.076855,64
8,mechanicIntroduction,0.007013496,64
10,mechanicIntroduction,0.005417991,64
12,mechanicIntroduction,0.2165869,64
14,mechanicIntroduction,0.9191478,64
16,mechanicIntroduction,0.3993454,64
18,mechanicIntroduction,0.1838712,64
20,mechanicIntroduction,1.567948,64
22,mechanicIntroduction,0,64
24,mechanicIntroduction,0,64
26,mechanicIntroduction,0,64
28,mechanicIntroduction,0,64
Average,64
Peak,64
