3,80
6,78
9,77
12,76
15,80
18,82
21,81
24,83
27,80
30,75
33,76
36,80
39,79
42,79
45,78
48,79
51,79
54,76
57,75
60,77
62,77
66,78
68,80
71,84
75,91
77,93
80,94
83,94
86,92
90,91
92,92
95,90
98,89
101,89
104,85
107,83
111,84
113,84
116,86
119,87
122,90
125,92
128,93
131,93
134,93
138,93
140,91
143,90
146,89
149,88
152,84
155,82
158,82
161,83
164,84
167,84
170,83
173,82
176,79
179,78
182,79
185,79
188,79
191,78
194,78
197,80
200,82
203,83
206,81
209,80
212,78
215,76
218,75
221,75
224,74
227,73
230,73
233,74
236,72
239,70
242,70
245,70
248,70
251,70
254,71
257,71
260,71
263,72
266,72
269,72
272,72
275,72
278,72
281,72
284,72
287,72
290,72
293,72
296,72
299,72
302,72
305,85
308,86
311,87
314,88
317,88
320,88
323,87
326,86
329,83
332,82
335,80
338,77
341,78
344,78
347,79
350,79
353,80
356,80
359,80
362,80
365,80
368,81
371,82
374,85
377,85
380,83
383,79
386,77
389,77
392,78
395,78
398,78
401,77
404,75
407,75
410,75
413,73
416,74
419,76
422,83
425,90
428,93
431,96
434,96
437,94
440,91
443,90
446,90
449,91
452,92
455,92
458,93
461,96
464,97
467,95
470,92
473,83
476,77
479,76
482,77
485,81
488,83
491,85
494,86
497,87
500,87
503,86
506,85
509,85
512,85
515,85
518,85
521,86
524,88
527,88
530,87
533,86
536,85
539,85
542,85
545,84
548,80
551,78
554,77
557,78
560,78
563,81
566,85
569,85
572,86
575,86
578,86
581,85
584,86
587,86
590,86
593,86
596,86
599,87
602,88
605,90
608,88
611,87
613,88
616,86
619,84
623,82
625,80
628,80
631,80
635,78
638,78
640,79
643,80
646,82
650,82
652,85
655,88
658,87
661,87
664,89
667,89
670,88
673,89
676,89
679,88
682,88
685,87
688,83
691,80
694,77
697,75
700,76
703,77
706,77
709,79
712,79
715,80
718,79
721,79
724,80
727,80
730,80
733,78
736,75
739,74
742,76
745,78
748,78
751,79
754,81
757,82
760,81
763,81
766,80
769,78
772,79
775,79
778,79
781,79
784,79
787,79
790,79
793,79
796,79
799,79
802,81
805,80
808,78
811,75
814,73
817,71
820,72
823,72
826,71
829,69
832,70
835,72
838,77
841,79
844,83
847,85
850,86
853,87
856,86
859,82
862,81
865,82
868,82
871,82
874,82
877,82
880,82
883,83
886,84
889,83
892,81
895,79
898,77
901,77
904,76
907,75
910,76
913,79
916,81
919,81
922,84
925,84
928,83
931,81
934,79
937,77
940,76
943,77
946,77
949,78
952,80
955,81
958,80
961,78
964,79
967,80
970,84
973,84
976,84
979,82
982,79
985,79
988,79
991,77
994,80
997,82
1000,82
1003,82
1006,84
1009,84
1012,84
