2,IntroductionDialogue,0.0003018267,78
4,IntroductionDialogue,2.812093E-05,78
6,IntroductionDialogue,2.787704E-05,78
8,IntroductionDialogue,0.00128488,78
10,IntroductionDialogue,2.686199E-05,78
12,IntroductionDialogue,2.705285E-05,78
14,IntroductionDialogue,0.0005720221,78
16,IntroductionDialogue,0.002793057,78
18,IntroductionDialogue,0.001009051,78
20,IntroductionDialogue,3.992472E-05,78
22,IntroductionDialogue,2.705259E-05,78
24,IntroductionDialogue,3.956842E-05,78
26,IntroductionDialogue,2.875435E-05,78
28,IntroductionDialogue,1.640233E-05,78
30,IntroductionDialogue,1.640233E-05,78
Average,78
Peak,78
