2,IntroductionDialogue,4.470348E-08,64
4,IntroductionDialogue,0.004394621,64
6,IntroductionDialogue,1.53482E-06,64
8,IntroductionDialogue,0.0006841421,64
10,IntroductionDialogue,5.291402E-05,64
12,IntroductionDialogue,0.0001492202,64
14,IntroductionDialogue,0.0004573017,64
16,IntroductionDialogue,0.0001528263,64
18,IntroductionDialogue,1.53482E-06,64
20,IntroductionDialogue,0.0001547188,64
22,IntroductionDialogue,2.264977E-06,64
24,IntroductionDialogue,2.250075E-06,64
26,IntroductionDialogue,1.53482E-06,64
Average,64
Peak,64
